Christmas Gift & Hobby Show|Indiana State Fairgrounds|5-9
Prairie Tykes|Conner Prairie Interactive History Park|6-7
Printing Partners Pops Series: An Evening with Megan Hilty|Hilbert Circle Theatre|7-8
Moscow State Symphony Orchestra|The Center for the Performing Arts|7
LEGO KidsFest Indiana|Indiana Convention Center & Lucas Oil Stadium|7-9
Indianapolis LGBT Film Festival|Indianapolis Museum of Art|7-9
Spirit & Place Civic Festival: Journey|Downtown Indianapolis|7-16
Wise Traditions Nutrition and Health Conference|JW Marriott Indianapolis|7-9
VonnegutFest|Kurt Vonnegut Memorial Library|7-8
Music at The Loft: Michael Beck and Seth Jenkins|Traders Point Creamery|7
Spirit & Place Civic Festival - Opening Night - Taking it ALL In|Old City Hall|7
